t,ax,ay,az,wx,wy,wz
0.80469650,9.51708766,-0.34407932,2.39391359,-0.00335785,-0.00509001,-0.00117211
0.81591272,9.44387929,-0.46853355,2.63550120,-0.00824478,-0.00875521,-0.00483730
0.82712895,9.44387929,-0.51977940,2.71603040,-0.00213612,-0.00020309,-0.00850249
0.83834517,9.40727511,-0.65887530,2.62085952,0.00519426,0.00101864,-0.00483730
0.84956139,9.46584180,-0.63691279,2.29142187,0.00397253,0.00590556,0.00004962
0.86077464,9.52440850,-0.51977940,2.07179677,-0.00457958,0.00346210,0.00127135
0.87198788,9.49512515,-0.47585438,2.00590924,-0.00335785,0.00101864,-0.00483730
0.88320112,9.51708766,-0.35140016,2.09375928,-0.00091439,0.00101864,0.00493654
0.89441437,9.51708766,-0.41728769,2.34998857,0.01008118,-0.00631174,-0.00117211
0.90559191,9.51708766,-0.44657104,2.59889701,0.00397253,-0.00142482,-0.00117211
0.91676944,9.50244599,-0.55638359,2.59889701,0.00519426,-0.00020309,-0.00483730
0.92794698,9.50976682,-0.51245857,2.51836781,-0.00091439,0.00101864,-0.00117211
0.93912452,9.49512515,-0.60030861,2.29874271,-0.00335785,0.00346210,0.00249308
0.95031923,9.59761686,-0.61495028,2.10840096,0.00275080,0.00712729,-0.00361557
0.96151394,9.59761686,-0.56370442,2.07911761,0.00763772,0.00101864,-0.00361557
0.97270864,9.45852097,-0.59298777,2.15964681,0.01008118,0.00224037,-0.00605903
0.98390335,9.48780431,-0.62959195,2.56229283,0.00030734,-0.00386828,-0.00117211
0.99509639,9.50976682,-0.50513773,2.59157618,-0.00946651,-0.00386828,-0.00239384
1.00628942,9.46584180,-0.51245857,2.62085952,-0.00457958,-0.00142482,0.00371481
1.01748246,9.56833352,-0.57102526,2.55497199,-0.00702304,0.00468383,-0.00117211
1.02867550,9.56833352,-0.35140016,2.10108012,-0.00091439,0.00590556,0.00738000
1.03988546,9.51708766,-0.59298777,2.01323008,-0.00702304,0.00101864,0.00982347
1.05109543,9.50976682,-0.50513773,2.13036347,-0.00946651,-0.00264655,0.00127135
1.06230539,9.42923762,-0.38068351,2.29874271,0.00397253,-0.00509001,0.00249308
1.07351536,9.53905017,-0.46121271,2.58425534,0.00641599,-0.00509001,-0.00117211
1.08470386,9.49512515,-0.49049606,2.59157618,0.00641599,-0.00142482,0.00004962
1.09589237,9.48780431,-0.54906275,2.45980112,-0.00213612,0.00590556,-0.00728076
1.10708088,9.45852097,-0.49781689,2.28410104,-0.00702304,0.00712729,-0.00361557
1.11826938,9.62690021,-0.46853355,2.04983426,0.00885945,-0.00386828,-0.00361557
1.12947589,9.53172933,-0.51977940,2.20357183,0.00641599,-0.00020309,0.00249308
1.14068240,9.56101268,-0.43192936,2.17428849,0.00641599,0.00101864,-0.00239384
1.15188891,9.50244599,-0.62227112,2.47444279,-0.00335785,-0.00997694,0.00371481
1.16309541,9.44387929,-0.40996685,2.59157618,-0.00580131,-0.00020309,0.00004962
1.17431194,9.48048348,-0.65155446,2.49640530,-0.00091439,0.00468383,-0.00361557
1.18552846,9.45120013,-0.58566693,2.43051777,-0.00702304,0.00590556,-0.00361557
1.19674498,9.52440850,-0.65155446,2.28410104,-0.00213612,0.00224037,-0.00361557
1.20796150,9.53905017,-0.54174191,2.24749685,-0.00335785,0.00101864,-0.00117211
1.21916950,9.43655846,-0.52710024,2.30606355,-0.00335785,-0.00264655,-0.00483730
1.23037750,9.48780431,-0.55638359,2.32802606,0.00519426,-0.00386828,-0.00239384
1.24158549,9.50244599,-0.57102526,2.47444279,0.00519426,-0.00386828,-0.00483730
1.25279349,9.44387929,-0.45389187,2.37927191,0.00152907,0.00101864,-0.00117211
1.26397371,9.50976682,-0.58566693,2.37195108,-0.00213612,0.00468383,0.00249308
1.27515393,9.47316264,-0.55638359,2.26213853,0.00152907,0.00712729,-0.00483730
1.28633416,9.45120013,-0.60030861,2.27678020,-0.00213612,0.00224037,0.00127135
1.29751438,9.51708766,-0.62959195,2.34998857,0.00152907,-0.00020309,-0.00605903
1.30870163,9.50244599,-0.58566693,2.21821351,-0.00091439,-0.00386828,0.00004962
1.31988889,9.50244599,-0.68083781,2.37927191,-0.00335785,-0.00264655,-0.00361557
1.33107615,9.57565435,-0.56370442,2.32070522,0.00397253,-0.00509001,-0.00239384
1.34226340,9.50244599,-0.37336267,2.41587610,0.01252464,-0.00020309,-0.00117211
1.35348016,9.45852097,-0.31479598,2.40123442,0.00030734,0.00101864,0.00615827
1.36469692,9.53905017,-0.35140016,2.25481769,-0.00457958,-0.00386828,-0.00361557
1.37591368,9.48780431,-0.39532518,2.33534689,-0.00946651,-0.00631174,-0.00239384
1.38713044,9.51708766,-0.60030861,2.33534689,0.00275080,-0.00142482,0.00127135
1.39832419,9.50244599,-0.59298777,2.35730940,-0.00457958,0.00101864,-0.00117211
1.40951794,9.56101268,-0.72476283,2.41587610,-0.00091439,-0.00264655,0.00127135
1.42071170,9.51708766,-0.70280032,2.53300948,0.00030734,-0.00386828,0.00127135
1.43190545,9.46584180,-0.49049606,2.27678020,0.00641599,-0.00142482,-0.00361557
1.44309819,9.53905017,-0.30747514,2.47444279,0.00519426,0.00346210,0.00738000
1.45429093,9.50244599,-0.30015430,2.37195108,0.00397253,0.00224037,-0.00239384
1.46548367,9.50244599,-0.36604183,2.41587610,0.00763772,0.00101864,-0.00117211
1.47667640,9.46584180,-0.56370442,2.32802606,-0.00580131,0.00346210,-0.00728076
1.48790991,9.63422105,-0.71744199,2.33534689,-0.00457958,-0.00264655,-0.00361557
1.49914342,9.50976682,-0.83457538,2.28410104,0.00397253,-0.00386828,0.00127135
1.51037693,9.51708766,-0.74672534,2.30606355,0.01252464,0.00346210,-0.00117211
1.52161044,9.51708766,-0.46853355,2.40123442,0.00641599,-0.00142482,0.00371481
1.53278416,9.53172933,-0.27087096,2.45248028,0.00641599,-0.00264655,0.00493654
1.54395789,9.56101268,-0.15373757,2.42319693,0.00641599,0.00224037,0.00004962
1.55513161,9.46584180,-0.32211681,2.32802606,0.00030734,-0.00509001,-0.00117211
1.56630534,9.44387929,-0.58566693,2.25481769,-0.00457958,-0.00020309,-0.00972422
1.57751012,9.45852097,-0.68815865,2.22553434,-0.00946651,0.00468383,-0.00605903
1.58871490,9.49512515,-0.76136701,2.18893016,-0.00213612,0.00224037,-0.00239384
1.59991968,9.47316264,-0.76868785,2.35730940,-0.00213612,-0.00509001,-0.00239384
1.61112446,9.47316264,-0.51977940,2.44515944,0.00275080,0.00101864,0.00493654
1.62232196,9.56101268,-0.42460853,2.44515944,0.00397253,-0.00386828,0.00860174
1.63351947,9.48780431,-0.19766259,2.37927191,-0.00213612,0.00712729,0.00004962
1.64471698,9.45852097,-0.24890845,2.34998857,0.00030734,0.00346210,0.00004962
1.65591449,9.59029603,-0.42460853,2.32070522,-0.00824478,0.00468383,-0.00728076
1.66710997,9.48780431,-0.65887530,2.29142187,0.00152907,0.00712729,-0.01094595
1.67830545,9.51708766,-0.68815865,2.37927191,0.00030734,0.00712729,-0.00972422
1.68950093,9.56833352,-0.90046291,2.23285518,0.00030734,0.00346210,-0.00605903
1.70069641,9.47316264,-0.62959195,2.30606355,0.00152907,-0.00264655,0.00371481
1.71192515,9.53172933,-0.51977940,2.37195108,0.01008118,-0.00142482,0.00371481
1.72315389,9.44387929,-0.34407932,2.34266773,0.01130291,-0.00386828,0.00493654
1.73438263,9.50976682,-0.23426677,2.37195108,0.00397253,-0.00142482,-0.00361557
1.74561137,9.59761686,-0.39532518,2.38659275,-0.00457958,0.00101864,-0.00483730
1.75680786,9.53172933,-0.61495028,2.43051777,-0.00213612,0.00468383,-0.00483730
1.76800436,9.54637101,-0.56370442,2.36463024,-0.00580131,0.00468383,-0.00972422
1.77920085,9.53172933,-0.98099211,2.21089267,-0.00213612,-0.00020309,-0.00850249
1.79039735,9.47316264,-0.79797120,2.26213853,-0.00213612,0.00101864,0.00127135
1.80159688,9.50244599,-0.68815865,2.26213853,0.00275080,0.00101864,0.00860174
1.81279641,9.54637101,-0.40264602,2.33534689,0.01130291,-0.00142482,0.01348866
1.82399595,9.50244599,-0.23426677,2.33534689,0.00885945,-0.00142482,0.00615827
1.83519548,9.57565435,-0.20498343,2.43783861,-0.00457958,0.00224037,-0.00605903
1.84637100,9.52440850,-0.32211681,2.51104697,-0.01313170,0.00590556,-0.00361557
1.85754651,9.55369184,-0.56370442,2.33534689,-0.01435343,0.00346210,-0.00972422
1.86872202,9.48048348,-0.71744199,2.20357183,-0.00946651,0.00101864,-0.00850249
1.87989753,9.48780431,-0.87850040,2.22553434,0.00885945,0.00101864,0.00004962
1.89112449,9.53172933,-0.68815865,2.33534689,0.00885945,0.00101864,0.00249308
1.90235144,9.50244599,-0.45389187,2.43783861,0.00519426,-0.00142482,0.00860174
1.91357839,9.48780431,-0.21962510,2.43783861,0.00641599,-0.00020309,0.00860174
1.92480534,9.56101268,-0.20498343,2.48176363,0.00641599,-0.00020309,0.00004962
1.93600386,9.48780431,-0.23426677,2.48908446,0.00030734,0.00101864,-0.00605903
1.94720238,9.45852097,-0.47585438,2.27678020,-0.00335785,0.00712729,-0.01094595
1.95840091,9.49512515,-0.61495028,2.26213853,-0.00824478,-0.00020309,-0.00483730
1.96959943,9.48780431,-0.79065036,2.21821351,-0.00457958,-0.00753348,0.00249308
1.98079771,9.53172933,-0.74672534,2.29874271,-0.00335785,0.00101864,0.00249308
1.99199599,9.50976682,-0.69547948,2.37195108,0.01374637,0.00346210,0.00249308
2.00319427,9.48780431,-0.42460853,2.37927191,0.01618983,0.00101864,0.00860174
2.01439255,9.42191678,-0.18302092,2.45980112,0.00763772,-0.00509001,0.00615827
2.02557051,9.46584180,-0.24158761,2.43783861,-0.00335785,-0.00142482,-0.00361557
2.03674847,9.46584180,-0.37336267,2.34998857,-0.00335785,-0.00020309,-0.00605903
2.04792643,9.43655846,-0.54174191,2.28410104,-0.00824478,-0.00020309,-0.00361557
2.05910438,9.57565435,-0.83457538,2.33534689,-0.00457958,-0.00631174,-0.00117211
2.07029891,9.47316264,-0.76136701,2.32802606,0.00152907,-0.00142482,0.00493654
2.08149344,9.50244599,-0.69547948,2.34266773,0.00519426,-0.00264655,0.00371481
2.09268796,9.58297519,-0.51977940,2.29142187,0.01374637,-0.00509001,0.00860174
2.10388249,9.48780431,-0.27087096,2.42319693,0.01008118,-0.00264655,0.00615827
2.11511451,9.42191678,-0.20498343,2.42319693,0.00152907,0.00346210,0.00004962
2.12634653,9.49512515,-0.29283347,2.36463024,-0.00457958,-0.00020309,-0.00239384
2.13757855,9.56101268,-0.45389187,2.42319693,-0.00824478,0.00346210,-0.00972422
2.14881057,9.48780431,-0.78332952,2.41587610,-0.00335785,0.00224037,-0.00850249
2.15998256,9.59761686,-0.74672534,2.40123442,0.00519426,0.00468383,-0.00483730
2.17115456,9.48780431,-0.66619614,2.27678020,0.00397253,-0.00020309,0.00249308
2.18232656,9.46584180,-0.60762944,2.30606355,0.00397253,0.00468383,0.00493654
2.19349855,9.48048348,-0.24890845,2.32802606,0.00519426,0.00101864,0.00493654
2.20469403,9.50244599,-0.16837924,2.39391359,-0.00091439,-0.00631174,0.00371481
2.21588951,9.45120013,-0.09517088,2.36463024,0.00397253,-0.00386828,0.00127135
2.22708499,9.50976682,-0.38800434,2.47444279,0.00030734,-0.00264655,-0.00605903
2.23828048,9.50244599,-0.68815865,2.36463024,-0.00824478,0.00346210,-0.00972422
2.24948072,9.56833352,-0.93706709,2.27678020,-0.00213612,0.00468383,0.00004962
2.26068097,9.48048348,-0.96635044,2.26213853,0.00152907,0.00346210,-0.00361557
2.27188122,9.54637101,-0.79065036,2.30606355,0.00641599,-0.00386828,0.00127135
2.28308147,9.46584180,-0.38800434,2.30606355,0.00519426,-0.00142482,0.00738000
2.29429322,9.55369184,-0.28551263,2.31338438,0.01374637,-0.00142482,0.00127135
2.30550498,9.49512515,-0.26355012,2.36463024,0.01130291,-0.00264655,0.00493654
2.31671673,9.47316264,-0.23426677,2.37195108,0.00641599,-0.00386828,-0.00117211
2.32792848,9.53905017,-0.51977940,2.37927191,-0.00824478,0.00712729,-0.01216768
2.33912575,9.55369184,-0.72476283,2.36463024,-0.00824478,0.00101864,-0.00850249
2.35032302,9.50244599,-0.90046291,2.26945936,-0.00213612,0.00224037,-0.00117211
2.36152029,9.49512515,-0.77600869,2.28410104,-0.00335785,0.00590556,0.00127135
2.37271756,9.52440850,-0.52710024,2.23285518,0.00641599,0.00346210,0.00738000
2.38394427,9.54637101,-0.35872100,2.34266773,0.00763772,-0.00264655,0.00493654
2.39517099,9.50244599,-0.16105841,2.31338438,0.00397253,-0.00020309,0.00127135
2.40639770,9.45852097,-0.11713339,2.36463024,0.00275080,-0.00020309,0.00493654
2.41762441,9.50976682,-0.45389187,2.45980112,-0.00457958,-0.00386828,-0.00483730
2.42880040,9.47316264,-0.65155446,2.43783861,-0.00824478,0.00590556,-0.00728076
2.43997639,9.55369184,-0.79065036,2.28410104,-0.00946651,-0.00020309,-0.00239384
2.45115238,9.49512515,-0.78332952,2.29142187,-0.00091439,0.00468383,-0.00117211
2.46232837,9.50244599,-0.60030861,2.30606355,0.01008118,-0.00264655,0.00738000
2.47354841,9.50244599,-0.43192936,2.34266773,0.00763772,-0.00631174,0.00860174
2.48476845,9.41459595,-0.30015430,2.40123442,0.00641599,-0.00386828,0.00493654
2.49598849,9.48048348,-0.21962510,2.37927191,-0.00580131,-0.00020309,0.00493654
2.50720853,9.52440850,-0.40264602,2.34266773,-0.00213612,-0.00142482,-0.00850249
2.51838601,9.56101268,-0.62227112,2.38659275,-0.00824478,0.00590556,-0.00605903
2.52956349,9.45852097,-0.72476283,2.32802606,-0.00457958,0.00224037,-0.00361557
2.54074097,9.50976682,-0.82725454,2.28410104,-0.00702304,0.00224037,-0.00728076
2.55191845,9.51708766,-0.63691279,2.23285518,0.00641599,0.00224037,0.00249308
2.56314194,9.42923762,-0.56370442,2.30606355,0.01618983,0.00224037,0.01104520
2.57436544,9.56101268,-0.34407932,2.32070522,0.00885945,-0.00386828,0.00004962
2.58558893,9.48048348,-0.43925020,2.41587610,0.00519426,-0.00264655,0.00615827
2.59681243,9.48048348,-0.40264602,2.52568865,-0.00335785,-0.00020309,-0.00850249
2.60801071,9.52440850,-0.50513773,2.45980112,-0.01190997,0.00346210,-0.00361557
2.61920899,9.49512515,-0.58566693,2.22553434,-0.01068824,0.00590556,-0.00361557
2.63040727,9.50244599,-0.72476283,2.23285518,-0.00335785,0.00834902,-0.00117211
2.64160556,9.55369184,-0.73208367,2.26213853,0.00763772,0.00224037,0.00004962
2.65277576,9.51708766,-0.66619614,2.29142187,0.00641599,0.00101864,0.00004962
2.66394597,9.47316264,-0.66619614,2.41587610,0.00763772,-0.00753348,0.00493654
2.67511618,9.55369184,-0.38068351,2.39391359,0.00885945,-0.00142482,0.00127135
2.68628639,9.44387929,-0.30015430,2.42319693,0.00275080,-0.00020309,-0.00239384
2.69749367,9.53905017,-0.20498343,2.37195108,0.00275080,0.00101864,-0.00239384
2.70870095,9.55369184,-0.41728769,2.24017602,-0.00580131,0.00590556,-0.00605903
2.71990824,9.52440850,-0.64423363,2.33534689,-0.00335785,0.00346210,-0.00972422
2.73111552,9.51708766,-0.76868785,2.32802606,-0.00091439,-0.00264655,-0.00728076
2.74230802,9.57565435,-0.58566693,2.34998857,0.00275080,-0.00386828,0.00493654
2.75350052,9.49512515,-0.55638359,2.43783861,-0.00091439,0.00224037,0.00249308
2.76469302,9.48780431,-0.44657104,2.38659275,0.00885945,0.00346210,0.00371481
2.77588552,9.48048348,-0.36604183,2.35730940,0.00275080,0.00712729,-0.00239384
2.78711575,9.46584180,-0.48317522,2.30606355,-0.00091439,-0.00264655,-0.00605903
2.79834598,9.54637101,-0.54174191,2.25481769,-0.00335785,-0.00142482,-0.00483730
2.80957621,9.48780431,-0.62959195,2.22553434,-0.00580131,-0.00020309,-0.00972422
2.82080644,9.56833352,-0.65887530,2.35730940,0.00275080,-0.00264655,-0.00117211
2.83199120,9.55369184,-0.65887530,2.37195108,0.00030734,0.00101864,0.00615827
2.84317595,9.56101268,-0.51977940,2.33534689,0.00641599,-0.00509001,0.00004962
2.85436070,9.44387929,-0.38068351,2.42319693,0.00763772,0.00468383,0.00493654
