t,Bx,By,Bz
0.009472429752,-0.000038756288,0.000034937314,-0.000010827420
0.020689427853,-0.000038525470,0.000034475680,-0.000011016270
0.031906425953,-0.000038147770,0.000034307813,-0.000011289054
0.043123424053,-0.000038126786,0.000034685513,-0.000011519871
0.054315209389,-0.000038483504,0.000034391746,-0.000011435938
0.065506994724,-0.000038483504,0.000034391746,-0.000011435938
0.076698780060,-0.000038021870,0.000035294031,-0.000011792655
0.087890565395,-0.000038630387,0.000033867162,-0.000011352004
0.099112510681,-0.000038630387,0.000033867162,-0.000011352004
0.110334455967,-0.000037979903,0.000034286829,-0.000010974303
0.121556401253,-0.000038168753,0.000034622563,-0.000010890370
0.132778346539,-0.000038420554,0.000035084197,-0.000010722503
0.143971145153,-0.000038294653,0.000034769447,-0.000011645771
0.155163943768,-0.000038084820,0.000034685513,-0.000011037254
0.166356742382,-0.000038084820,0.000034685513,-0.000011037254
0.177549540997,-0.000038378587,0.000034538630,-0.000010827420
0.188736021519,-0.000038378587,0.000034538630,-0.000010827420
0.199922502041,-0.000037833019,0.000034706497,-0.000010974303
0.211108982563,-0.000038273670,0.000035839599,-0.000010638569
0.222295463085,-0.000037937936,0.000036007466,-0.000010890370
0.233486950397,-0.000038777271,0.000035063214,-0.000011037254
0.244678437710,-0.000038315637,0.000035126164,-0.000010995287
0.255869925022,-0.000038315637,0.000035126164,-0.000010995287
0.267061412334,-0.000038630387,0.000035734682,-0.000010722503
0.278269171715,-0.000038630387,0.000035734682,-0.000010722503
0.289476931095,-0.000038462520,0.000035650749,-0.000011226104
0.300684690475,-0.000038714321,0.000035189114,-0.000010659553
0.311892449856,-0.000038357603,0.000035210098,-0.000010134969
0.323085427284,-0.000038840221,0.000034769447,-0.000010344802
0.334278404713,-0.000038840221,0.000034454696,-0.000011016270
0.345471382141,-0.000038840221,0.000034454696,-0.000011016270
0.356664359570,-0.000038294653,0.000034202896,-0.000011331021
0.367867887020,-0.000038042853,0.000034937314,-0.000010701520
0.379071414471,-0.000038042853,0.000034937314,-0.000010701520
0.390274941921,-0.000038042853,0.000035126164,-0.000011205120
0.401478469372,-0.000038525470,0.000034622563,-0.000011184137
0.412703216076,-0.000038420554,0.000034853380,-0.000011100204
0.423927962780,-0.000038399570,0.000034706497,-0.000010722503
0.435152709484,-0.000038399570,0.000034706497,-0.000010722503
0.446377456188,-0.000038042853,0.000034790430,-0.000011184137
0.457549214363,-0.000038252687,0.000035063214,-0.000011079220
0.468720972538,-0.000038252687,0.000035063214,-0.000011079220
0.479892730713,-0.000038084820,0.000035482882,-0.000011603805
0.491064488888,-0.000037874986,0.000035021247,-0.000011163154
0.502271711826,-0.000038462520,0.000035084197,-0.000011226104
0.513478934765,-0.000038252687,0.000035461898,-0.000010617586
0.524686157703,-0.000037895969,0.000036301233,-0.000010596603
0.535893380642,-0.000037203518,0.000035629765,-0.000011289054
0.547086656094,-0.000038504487,0.000035692715,-0.000010953320
0.558279931545,-0.000038504487,0.000035692715,-0.000010953320
0.569473206997,-0.000038231703,0.000036301233,-0.000011435938
0.580666482449,-0.000038378587,0.000035503865,-0.000011142170
0.591901004314,-0.000038378587,0.000035503865,-0.000011142170
0.603135526180,-0.000038126786,0.000035126164,-0.000010722503
0.614370048046,-0.000038189737,0.000035356981,-0.000010806436
0.625604569912,-0.000038336620,0.000034685513,-0.000010030052
0.636799514294,-0.000038483504,0.000035755665,-0.000010323819
0.647994458675,-0.000038483504,0.000035755665,-0.000010323819
0.659189403057,-0.000038273670,0.000036091399,-0.000010827420
0.670384347439,-0.000038546454,0.000034790430,-0.000011163154
0.681562602520,-0.000038546454,0.000034790430,-0.000011163154
0.692740857601,-0.000038882188,0.000034664530,-0.000011247087
0.703919112682,-0.000037916953,0.000035315015,-0.000011037254
0.715097367764,-0.000037895969,0.000034349779,-0.000010953320
0.726290166378,-0.000038315637,0.000034202896,-0.000010848403
0.737482964993,-0.000038378587,0.000034307813,-0.000011079220
0.748675763607,-0.000038378587,0.000034307813,-0.000011079220
0.759868562222,-0.000037958919,0.000034412730,-0.000010617586
0.771075546741,-0.000037958919,0.000034412730,-0.000010617586
0.782282531261,-0.000037413352,0.000034937314,-0.000010407752
0.793489515781,-0.000037895969,0.000034727480,-0.000010911353
0.804696500301,-0.000038252687,0.000034559613,-0.000010764470
0.815912723541,-0.000038315637,0.000034769447,-0.000010890370
0.827128946781,-0.000039113005,0.000033153727,-0.000010533653
0.838345170021,-0.000039113005,0.000033153727,-0.000010533653
0.849561393261,-0.000038420554,0.000035126164,-0.000010806436
0.860774636269,-0.000038420554,0.000035126164,-0.000010806436
0.871987879276,-0.000038483504,0.000034244863,-0.000011058237
0.883201122284,-0.000037979903,0.000034601580,-0.000010974303
0.894414365292,-0.000038462520,0.000034874364,-0.000010785453
0.905591905117,-0.000037812036,0.000033972079,-0.000011372987
0.916769444942,-0.000037518269,0.000034118962,-0.000010554636
0.927946984768,-0.000037518269,0.000034118962,-0.000010554636
0.939124524593,-0.000037916953,0.000034601580,-0.000011142170
0.950319230556,-0.000038210720,0.000034307813,-0.000010596603
0.961513936520,-0.000038210720,0.000034307813,-0.000010596603
0.972708642483,-0.000039238905,0.000034286829,-0.000010491686
0.983903348446,-0.000038798254,0.000034601580,-0.000010680536
0.995096385479,-0.000039008088,0.000034454696,-0.000010281852
1.006289422512,-0.000038210720,0.000034118962,-0.000011121187
1.017482459545,-0.000038231703,0.000033909129,-0.000011372987
1.028675496578,-0.000038840221,0.000034244863,-0.000011247087
1.039885461330,-0.000038000886,0.000033993062,-0.000011100204
1.051095426083,-0.000038000886,0.000033993062,-0.000011100204
1.062305390835,-0.000038462520,0.000034874364,-0.000011037254
1.073515355587,-0.000038546454,0.000034118962,-0.000011163154
1.084703862667,-0.000037854003,0.000033804212,-0.000010743486
1.095892369747,-0.000037833019,0.000033993062,-0.000010533653
1.107080876827,-0.000038441537,0.000035084197,-0.000011184137
1.118269383907,-0.000037581219,0.000034517646,-0.000011205120
1.129475891590,-0.000038483504,0.000034454696,-0.000010953320
1.140682399273,-0.000038483504,0.000034454696,-0.000010953320
1.151888906956,-0.000038105803,0.000034328796,-0.000011247087
1.163095414639,-0.000037686136,0.000033972079,-0.000011142170
1.174311935902,-0.000037686136,0.000033972079,-0.000011142170
1.185528457165,-0.000037581219,0.000032880943,-0.000010848403
1.196744978428,-0.000038000886,0.000034475680,-0.000010785453
1.207961499691,-0.000038588421,0.000033972079,-0.000010848403
1.219169497490,-0.000038588421,0.000033909129,-0.000011163154
1.230377495289,-0.000037937936,0.000033615361,-0.000011037254
1.241585493088,-0.000037937936,0.000033615361,-0.000011037254
1.252793490887,-0.000038105803,0.000034559613,-0.000011268071
1.263973712921,-0.000038105803,0.000034559613,-0.000011268071
1.275153934956,-0.000038441537,0.000035650749,-0.000011540854
1.286334156990,-0.000038399570,0.000034937314,-0.000011184137
1.297514379025,-0.000038462520,0.000033825195,-0.000011058237
1.308701634407,-0.000037937936,0.000034328796,-0.000010932337
1.319888889790,-0.000037728102,0.000033741262,-0.000010911353
1.331076145172,-0.000037728102,0.000033741262,-0.000010911353
